Province/State,Country/Region,Lat,Long,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021
Thiruvananthapuram,India,8.5241,76.9366,163,212,180,185,249,210,330,444,422,550,525,505,579,666,800,750,909,990,981,1490,1881,2283,2345,2383,2020,2272,2892,3210,3940,3535,3111,3424,2450,3388,3727,3969,3950,4560,4240,3494,3700,4284,4050,4567,3292,2818,2364,3355,3600,3969
Kollam,India,8.8932, 76.6141,216,158,215,148,142,173,247,279,260,311,304,282,448,440,399,454,472,802,455,848,943,988,1080,1255,1209,741,1591,1422,2058,1969,1648,1597,1311,2429,2946,2513,2422,2838,2390,2039,2888,3350,3731,2992,2332,2416,1946,3323,3029,2639
Pathanamthitta,India,9.2648,76.787,127,111,72,74,45,182,111,147,259,256,246,148,312,373,395,261,664,673,390,459,821,1246,1171,933,871,457,1163,1202,1245,1225,1065,1082,428,1093,1282,1341,1191,1180,939,450,1224,1339,1301,1204,1119,798,490,1149,1108,991
Alappuzha,India,9.4981,76.3388,98,75,81,99,110,165,157,241,235,392,339,340,456,481,345,745,908,800,704,1347,1172,1157,1239,1750,1302,1183,1770,2235,2043,2224,2536,2442,1994,2719,2951,3040,2160,2433,2088,1908,2460,2601,2709,2149,1996,1761,1679,2353,2034,2462
Kottayam,India,9.5916,76.5222,199,184,126,230,164,354,300,324,417,376,666,407,629,816,751,780,1154,1703,973,1510,2140,2485,1986,2062,2666,1275,2970,2917,3616,2917,2515,2815,1650,2170,3432,2865,2153,2395,2324,1713,2566,2904,2771,2043,2012,1806,1349,1855,1988,1826
Idukki,India,9.9189,77.1025,123,71,52,113,66,158,92,125,246,230,291,194,259,340,205,293,645,682,469,637,768,931,868,838,848,779,859,1251,1153,1235,978,1036,407,955,1396,956,1117,1053,1046,422,1056,1305,1236,1284,737,1075,461,830,1281,846
Ernakulam,India,9.9816,76.2999,327,278,268,368,316,487,504,654,607,977,842,779,1162,1226,1267,1391,2187,2835,1781,3212,3980,4396,4548,3320,4468,2515,4270,5287,5369,4642,5002,3502,3291,5030,6558,6506,5361,5492,4767,2834,4514,6410,5026,3855,3744,3154,2315,3517,4282,3336
Thrissur,India,10.5276,76.2144,240,182,201,210,176,282,280,393,414,530,423,320,690,544,704,737,1149,1780,1388,1868,2293,2781,2952,2584,2871,2416,3097,4107,3954,4281,4070,3942,2621,3567,3731,3587,3738,4230,3753,3280,3282,3994,3587,3162,3334,3056,2045,2312,2888,2231
Palakkad,India,10.7867,76.6548,113,103,115,133,113,172,170,190,252,304,325,206,348,461,481,514,864,1077,581,1109,1120,1518,1728,1512,1820,1342,2071,1920,2411,2273,2499,1936,1729,3111,2551,2950,2968,3216,2881,2297,2959,3520,3223,2948,3165,3145,1871,3105,2709,2560
Malappuram,India,11.051,76.0711,170,224,191,240,193,261,276,359,359,549,728,612,633,888,744,882,1430,1677,1661,1945,1874,2776,2671,2745,3123,2455,3251,3684,3857,3945,3354,3085,3278,4323,4166,4405,3949,4558,3850,3443,4774,5388,5044,3997,4782,4424,2941,4320,4212,4746
Kozhikode,India,11.2588,75.7804,424,385,568,403,360,402,550,453,715,791,1271,1010,867,1098,1062,1560,1504,2560,2022,2341,2645,3372,3939,3767,3998,3251,5015,4317,4990,4915,5554,4238,3919,4788,5180,5700,4200,3981,3805,2522,3927,4418,3346,2760,2966,2406,1492,2474,2668,2207
Wayanad,India,11.6854,76.132,66,69,77,59,39,118,82,176,152,191,200,133,199,273,166,348,484,605,388,590,538,614,812,873,659,500,968,732,909,743,814,769,325,959,890,1056,1173,1196,655,328,892,701,787,482,702,590,211,631,497,517
Kannur,India,11.8745,75.3704,345,272,264,350,240,410,287,334,478,451,575,536,503,748,649,673,1132,1451,1175,1360,1554,1747,1998,1755,1843,1618,1996,1857,1999,2482,1484,1525,1469,1985,2087,2418,3139,3090,2297,1838,2085,2346,2261,2159,1652,1695,1641,1374,1789,1433
Kasaragod,India,12.4996,74.9869,187,184,131,190,144,128,116,234,247,286,251,220,430,424,158,643,333,622,676,861,685,701,1110,908,771,1086,906,872,1063,813,1006,566,1139,673,1056,1158,939,1749,766,919,963,969,883,1092,847,560,597,739,677,728
